# WellID, X, Y, tstart, tend,CS1,CS2,CS3,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12
1,401059.3661,6447744.971,20.0030446,39.98935535,1,1,1,1,1,1,1,1,0,0,0,0
2,400326.8682,6441746.168,19.44210467,39.42841541,1,1,1,1,1,1,0,1,1,1,1,1
3,403047.61,6449399.953,20.53263839,40.51894913,0,1,0,1,1,1,1,1,0,1,1,1
4,403361.4676,6450098.719,18.23146596,38.2177767,0,1,0,0,1,0,1,1,0,1,1,1
5,401090.035,6444094.583,21.26029949,41.24661024,1,1,1,1,1,1,1,1,1,1,1,1
6,400613.5541,6442214.016,19.0025422,38.98885295,1,0,1,0,1,0,0,1,1,0,1,1
7,402001.7142,6446641.313,21.29216518,41.27847592,0,1,1,0,0,1,0,0,1,1,0,1
8,404762.583,6445962.377,19.59233117,39.57864192,1,1,0,1,0,0,1,0,1,1,0,0
9,399945.4797,6444303.482,20.44428293,40.43059368,1,1,1,1,1,1,1,1,1,1,1,1
10,404105.3939,6445619.712,19.27612077,39.26243151,1,0,1,0,0,1,0,0,0,1,1,1
11,401390.0696,6450097.325,20.87969525,40.866006,1,1,1,1,1,0,1,1,1,0,1,0
12,402424.588,6443215.386,20.37470869,40.36101944,1,1,1,1,1,1,1,1,1,1,1,1
13,402790.9089,6443905.746,20.87232238,40.85863313,1,0,1,1,1,1,1,1,0,1,1,1
14,400967.9439,6445322.648,20.69989667,40.68620742,0,0,0,1,1,0,1,1,0,1,1,0
15,402845.89,6449981.216,18.66432268,38.65063343,0,1,1,1,1,0,1,1,1,1,0,1
16,402063.5299,6442859.374,20.83617268,40.82248342,1,0,0,1,1,1,1,1,0,1,0,1
17,403354.7075,6448936.831,20.11429281,40.10060356,1,1,1,1,1,1,1,1,1,1,0,1
18,400634.2692,6446612.104,18.57128912,38.55759986,1,1,1,1,1,1,1,1,1,1,1,0
19,402717.7734,6444539.114,19.3502659,39.33657665,1,0,0,1,1,1,0,1,1,1,1,1
20,399770.4394,6441563.574,20.25353865,40.23984939,1,1,1,1,1,1,1,1,1,1,1,1
21,403072.8248,6451656.532,19.20408923,39.19039997,0,1,1,0,1,0,1,0,0,1,1,1
22,400155.2406,6443085.943,21.64491515,41.6312259,1,1,1,1,1,1,1,1,1,1,1,0
23,404419.8384,6448508.393,19.49275253,39.47906327,0,1,1,1,1,1,0,0,0,1,0,0
24,402460.4877,6451359.761,19.10665572,39.09296646,0,0,1,0,1,1,1,1,0,0,1,1
25,401925.5444,6441620.173,20.60724602,40.59355677,1,0,1,0,1,0,1,1,1,0,1,1
26,405103.2746,6454445.597,20.23632682,40.22263756,1,0,0,1,1,1,1,1,1,1,1,0
27,402600.991,6448926.153,18.84253626,38.82884701,0,0,0,1,0,0,1,1,1,0,1,1
28,400763.7693,6443152.166,19.78969232,39.77600307,1,1,1,1,0,1,0,1,0,1,1,1
29,402177.6161,6447511.081,21.73470475,41.7210155,1,1,1,1,1,1,1,1,1,1,1,1
30,400949.8401,6450484.33,20.92052129,40.90683203,1,1,1,0,0,1,1,0,0,0,0,1
31,403948.3808,6445102.99,18.01639578,38.00270653,1,1,1,1,1,1,1,1,0,1,0,1
32,400467.588,6446009.845,18.27126565,38.2575764,1,1,1,1,0,1,1,1,1,1,1,1
33,404324.9465,6454266.235,18.60431839,38.59062913,1,1,0,1,1,0,1,1,0,1,1,0
34,404356.6899,6447517.805,20.04364383,40.02995458,0,0,1,0,0,1,0,1,1,1,1,0
35,402070.7343,6450292.234,18.37902004,38.36533079,1,1,1,1,1,1,1,1,1,1,1,1
36,402611.9206,6442595.463,18.27414776,38.26045851,0,1,0,1,1,1,0,0,1,0,1,1
37,402896.523,6445742.65,21.27241016,41.2587209,1,1,0,1,1,0,1,0,0,1,1,1
38,404096.0215,6449010.265,20.17542349,40.16173424,0,1,1,1,0,1,0,1,0,1,1,1
39,401179.3895,6444721,18.88185079,38.86816153,0,1,0,1,1,1,1,1,1,0,1,1
40,404117.4847,6448005.744,18.65864112,38.64495187,1,1,1,1,1,1,1,0,0,1,1,1
41,402425.77,6441750.17,19.92815184,39.91446259,1,1,1,1,1,0,1,1,0,1,1,1
42,403123.8908,6452317.842,18.86276277,38.84907351,1,1,1,1,1,1,1,1,1,1,1,1
43,402153.9017,6444470.267,18.34825895,38.33456969,1,1,1,1,1,1,0,1,1,1,1,1
44,404467.8278,6452226.14,18.32173626,38.30804701,1,0,1,1,1,1,1,1,1,1,0,0
45,400529.7672,6444584.523,20.75869936,40.7450101,1,1,0,1,1,0,1,1,1,1,1,1
46,404269.9021,6451652.24,18.73070801,38.71701875,1,1,0,0,1,1,1,1,0,1,0,0
47,402358.577,6445629.497,20.54123584,40.52754658,1,1,1,1,1,1,1,1,1,1,1,1
48,403673.2941,6444591.996,21.83196236,41.8182731,1,1,1,0,0,0,0,0,1,1,0,1
49,402003.8969,6448780.195,19.51888424,39.50519499,0,1,1,1,0,0,0,1,1,1,1,1
50,404447.9091,6453535.189,18.06885405,38.05516479,0,1,1,1,1,1,0,1,1,1,1,1
51,404472.8533,6449227.413,18.67610327,38.66241402,1,1,1,1,1,1,0,1,0,0,1,1
52,401279.3048,6446505.881,21.80453999,41.79085073,1,0,0,1,0,1,1,0,0,1,1,1
53,401498.9983,6452207.12,21.53013268,41.51644342,1,0,0,1,0,1,1,1,1,1,1,0
54,401765.976,6448292.048,20.36958363,40.35589437,1,1,1,1,0,0,0,1,1,1,0,0
55,404435.2376,6450203.359,18.34336301,38.32967376,1,1,1,1,1,1,0,1,1,1,1,1
56,404439.094,6451072.744,20.03129216,40.0176029,1,1,0,1,1,0,0,1,1,1,1,1
57,401684.8094,6447608.104,20.00784622,39.99415696,1,1,1,1,1,0,1,1,1,0,1,1
58,399639.0048,6442916.604,19.56659269,39.55290344,1,1,0,1,1,1,0,0,1,1,1,0
59,401832.6708,6454384.703,19.6419393,39.62825005,1,1,1,1,1,1,1,1,1,1,1,1
60,404114.7205,6450557.533,18.7915111,38.77782185,1,1,1,1,1,0,1,1,1,1,1,1
61,402504.3508,6453238.817,21.09236359,41.07867433,1,1,1,1,1,1,1,0,1,1,1,1
62,403027.5033,6446335.939,20.97753873,40.96384947,1,0,1,0,1,0,1,0,1,1,0,1
63,400588.6644,6443896.677,19.87053511,39.85684586,0,1,1,1,1,1,0,1,0,1,1,0
64,399765.8318,6444965.928,19.44986784,39.43617859,1,0,1,0,0,0,1,0,1,1,1,1
65,400884.8048,6441397.11,20.21207165,40.1983824,1,1,0,1,1,0,1,0,0,1,0,1
66,402372.2675,6446113.048,20.350528,40.33683874,0,0,0,1,1,1,1,1,0,1,1,0
67,402001.2436,6442291.199,20.81152709,40.79783784,1,1,0,1,1,1,1,1,0,1,1,0
68,400897.3359,6451340.226,21.37719272,41.36350346,0,1,1,1,1,1,0,0,0,1,0,0
69,400968.1921,6442676.685,20.68544619,40.67175693,0,0,1,1,1,1,0,1,0,0,1,0
70,401513.6979,6451223.088,19.51082582,39.49713656,1,1,1,1,0,0,0,1,1,1,1,1
71,402979.6234,6452932.639,18.35642223,38.34273298,1,1,1,1,1,1,1,1,1,1,1,1
72,402367.2103,6452521.914,21.58379587,41.57010661,1,1,0,0,1,0,1,1,0,1,1,1
73,404236.1722,6452839.22,19.96658262,39.95289336,1,1,0,0,1,0,1,0,1,1,0,1
74,402732.293,6451984.578,20.00680413,39.99311488,1,1,1,0,0,1,0,1,0,1,1,0
75,402915.2535,6447937.742,20.21106385,40.19737459,1,0,0,1,1,1,1,1,1,1,1,1
76,400914.6987,6449433.971,18.43962067,38.42593142,1,1,1,1,1,1,0,1,0,1,1,1
77,402844.6272,6454370.387,18.62624383,38.61255458,0,1,1,0,0,1,1,0,0,1,0,1
78,401516.1315,6450605.59,19.73989478,39.72620553,0,0,1,1,1,0,1,1,1,1,1,1
79,402191.1168,6443938.582,19.77085802,39.75716876,1,1,0,0,1,1,1,1,0,1,1,0
80,401939.2514,6451506.623,20.29696654,40.28327729,1,1,1,1,1,1,1,1,0,0,1,1
81,403973.94,6447080.875,19.33064898,39.31695973,1,1,1,1,1,1,1,1,0,1,1,1
82,402389.2174,6447015.486,20.23567737,40.22198812,1,0,1,0,1,0,1,0,0,1,1,0
83,404228.3334,6449720.06,21.38402675,41.37033749,1,0,1,1,0,1,1,1,0,1,0,1
84,401184.459,6443513.085,19.35266861,39.33897936,0,1,0,1,1,0,1,1,1,1,0,1
85,401111.9202,6441992.485,19.19039463,39.17670538,0,1,1,1,1,0,1,1,1,0,0,0
86,402380.5109,6449637.013,19.47613292,39.46244367,0,1,0,1,0,1,1,1,1,1,1,1
87,399969.4286,6443652.532,18.63902218,38.62533292,0,1,1,1,1,1,0,1,1,1,1,0
88,402099.4456,6451991.439,21.30901785,41.2953286,1,0,0,0,1,1,0,1,1,1,0,0
89,403244.0785,6453375.093,21.03345035,41.0197611,1,1,1,1,1,0,1,1,1,0,1,0
90,401399.2307,6445788.928,18.16629317,38.15260392,1,1,0,1,0,0,0,1,1,1,1,1
91,402819.6662,6453791.334,19.27011849,39.25642924,1,1,1,1,1,1,1,1,1,1,1,1
92,401614.6995,6452729.237,18.65265177,38.63896252,1,0,0,1,1,1,0,0,1,0,1,0
93,402110.8088,6453817.501,18.55248772,38.53879847,1,1,1,1,1,1,1,1,1,1,1,1
94,399941.7098,6442330.282,20.00175603,39.98806678,0,1,0,1,1,0,1,0,1,1,1,1
95,402647.1848,6450494.505,20.05994486,40.04625561,1,0,0,1,1,1,1,1,1,1,0,0
96,403254.6468,6448351.129,21.07595866,41.0622694,1,1,1,1,1,1,1,1,1,0,1,1
97,401318.3571,6447188.005,20.26027305,40.24658379,0,1,1,0,1,1,1,1,1,0,0,1
98,403152.5201,6447162.743,21.06664131,41.05295206,0,1,1,1,0,0,1,1,1,1,1,1
99,403275.2176,6450714.065,18.12581221,38.11212296,1,1,0,0,0,0,0,0,1,1,1,1
100,400231.7066,6445367.073,19.64822404,39.63453478,1,1,1,1,1,0,1,1,1,1,0,1
101,401255.4934,6448914.264,18.2115675,38.19787825,0,0,0,1,1,1,1,1,1,1,1,1
102,401874.298,6453354.642,21.14295239,41.12926313,0,0,1,1,0,1,0,1,1,0,0,1
103,404238.07,6446168.177,19.34103499,39.32734574,0,1,1,0,1,1,1,1,1,1,1,1
104,404426.2659,6446694.684,20.83657977,40.82289051,1,1,1,1,1,1,1,1,1,1,1,1
105,400965.7665,6448446.137,19.92496693,39.91127767,1,1,1,0,1,1,1,1,1,1,1,1
106,402136.0605,6450943.63,20.30286393,40.28917467,1,1,1,1,0,1,1,1,1,1,1,0
107,401617.1833,6449295.154,21.58077541,41.56708616,1,1,1,1,1,1,1,1,0,1,1,1
108,402054.66,6445208.629,18.23517429,38.22148504,1,0,1,1,1,0,0,1,1,1,1,0
109,402526.7317,6448409.253,21.56299685,41.5493076,1,1,1,1,1,1,1,1,0,0,1,1
110,402917.9895,6451105.794,20.71910886,40.7054196,1,1,1,1,1,1,1,1,1,1,1,1
